target,count,mean,median,std,min,p25,p75,p90,p95,max
t_wait_for_berthing_h,141895,10.32302347980314,0.0,63.834458087946636,0.0,0.0,0.0,6.9,40.62666666666628,3000.95
t_operation_h,141895,99.67604684214854,35.416666666666664,791.8003499499155,0.016666666666666666,17.5,74.33333333333333,153.56666666666666,254.60999999999962,77638.71666666666
t_post_operation_h,141895,0.8303001045373927,0.0,19.892532216278447,0.0,0.0,0.0,0.0,0.0,3958.1666666666665
t_total_port_stay_h,141895,110.82937042648906,39.35,795.2784691114666,0.016666666666666666,19.083333333333332,85.25,183.55,313.5833333333333,77638.71666666666
