scenario,demand_mean_units_d,demand_std_units_d,service_z,unit_value_brl,policy,mean_policy_lead_time_d,mean_safety_stock_units,proxy_working_capital_brl,protection_rate,mean_buffer_excess_d,underbuffer_rate
base,100.0,25.0,1.65,50.0,A_static_segment_port_operation,5.86272974002476,725.3166613258949,36265.83306629474,0.8957242167412628,2.92942431408649,0.10427578325873726
base,100.0,25.0,1.65,50.0,B_dynamic_original_point,2.1341667649256006,239.02146346244106,11951.073173122053,0.5287115512808304,-0.7991386610126698,0.4712884487191696
base,100.0,25.0,1.65,50.0,C_dynamic_enriched_point,2.1933539212986233,262.3248992305708,13116.24496152854,0.5226645081420817,-0.7399515046396473,0.4773354918579183
base,100.0,25.0,1.65,50.0,D_dynamic_quantile_p90,5.786658849528112,727.2918575127558,36364.59287563779,0.894771926483192,2.8533534235898412,0.10522807351680792
base,100.0,25.0,1.65,50.0,D_dynamic_quantile_p95,7.761443685272066,887.0565209177767,44352.82604588883,0.9440529473383488,4.828138259333796,0.05594705266165127
low_demand,50.0,15.0,1.65,50.0,A_static_segment_port_operation,5.86272974002476,364.1588099253605,18207.940496268027,0.8957242167412628,2.92942431408649,0.10427578325873726
low_demand,50.0,15.0,1.65,50.0,B_dynamic_original_point,2.1341667649256006,121.14549845839561,6057.274922919781,0.5287115512808304,-0.7991386610126698,0.4712884487191696
low_demand,50.0,15.0,1.65,50.0,C_dynamic_enriched_point,2.1933539212986233,132.69513453173116,6634.756726586558,0.5226645081420817,-0.7399515046396473,0.4773354918579183
low_demand,50.0,15.0,1.65,50.0,D_dynamic_quantile_p90,5.786658849528112,365.12288810043987,18256.144405021994,0.894771926483192,2.8533534235898412,0.10522807351680792
low_demand,50.0,15.0,1.65,50.0,D_dynamic_quantile_p95,7.761443685272066,445.15526661702665,22257.763330851332,0.9440529473383488,4.828138259333796,0.05594705266165127
high_demand,200.0,50.0,1.65,50.0,A_static_segment_port_operation,5.86272974002476,1450.6333226517897,72531.66613258948,0.8957242167412628,2.92942431408649,0.10427578325873726
high_demand,200.0,50.0,1.65,50.0,B_dynamic_original_point,2.1341667649256006,478.0429269248821,23902.146346244106,0.5287115512808304,-0.7991386610126698,0.4712884487191696
high_demand,200.0,50.0,1.65,50.0,C_dynamic_enriched_point,2.1933539212986233,524.6497984611416,26232.48992305708,0.5226645081420817,-0.7399515046396473,0.4773354918579183
high_demand,200.0,50.0,1.65,50.0,D_dynamic_quantile_p90,5.786658849528112,1454.5837150255115,72729.18575127558,0.894771926483192,2.8533534235898412,0.10522807351680792
high_demand,200.0,50.0,1.65,50.0,D_dynamic_quantile_p95,7.761443685272066,1774.1130418355533,88705.65209177767,0.9440529473383488,4.828138259333796,0.05594705266165127
higher_service,100.0,25.0,2.05,50.0,A_static_segment_port_operation,5.86272974002476,901.1510034655057,45057.55017327529,0.8957242167412628,2.92942431408649,0.10427578325873726
higher_service,100.0,25.0,2.05,50.0,B_dynamic_original_point,2.1341667649256006,296.9660606654571,14848.303033272856,0.5287115512808304,-0.7991386610126698,0.4712884487191696
higher_service,100.0,25.0,2.05,50.0,C_dynamic_enriched_point,2.1933539212986233,325.9188141955577,16295.940709777884,0.5226645081420817,-0.7399515046396473,0.4773354918579183
higher_service,100.0,25.0,2.05,50.0,D_dynamic_quantile_p90,5.786658849528112,903.6050350916055,45180.25175458028,0.894771926483192,2.8533534235898412,0.10522807351680792
higher_service,100.0,25.0,2.05,50.0,D_dynamic_quantile_p95,7.761443685272066,1102.1005259887527,55105.02629943763,0.9440529473383488,4.828138259333796,0.05594705266165127
